DOI,Meta.analysis.significant,O.within.CI.R,P.value.R,WOS_in-deg,WOS_out-deg,in-deg,out-deg,page_rank,betweennesss_centrality,normalized_betweennesss_centrality,clustering_coefficient,constraint
10.1037/0022-3514.94.1.168,,,,506,108,494,104,0.13612085545595548,47813.97658730157,0.13393045659541175,0.009316370032996645,0.012599495079465107
10.1111/j.1467-9280.2008.02045.x,1.0,0.0,0.0,296,27,284,22,0.14952963143891013,5790.021042846041,0.06203815539318591,0.031039689387402935,0.017195292315696307
10.1037/0022-3514.94.4.672,1.0,0.0,0.0,331,192,313,199,0.043995564603687656,48988.84980009673,0.18724334102899007,0.032985261741682974,0.009806593410500332
10.1037/0022-3514.94.3.365,,,,237,77,288,85,0.07610232592785704,20989.063467088465,0.1512659882606047,0.028997478480132163,0.014292092710453383
10.1037/0022-3514.94.4.615,0.0,0.0,0.0,295,63,244,67,0.09321459048640347,14247.973412698413,0.14778522365624328,0.028461777823877193,0.014330119141113417
10.1111/j.1467-9280.2008.02227.x,0.0,0.0,0.0,236,17,243,16,0.1008242239451005,2708.6892857142866,0.040535890660475395,0.03651492023585047,0.02921593567171537
10.1111/j.1467-9280.2008.02096.x,,,,283,33,272,30,0.14314180818181413,7162.937301587301,0.07879845659707488,0.017601372907086753,0.015848121935060657
10.1111/j.1467-9280.2008.02043.x,1.0,1.0,1.0,327,36,354,36,0.04357971132730761,5884.979614212403,0.03879098025319625,0.06304826014364084,0.014965908863047873
10.1037/0022-3514.94.2.292,,,,314,51,214,56,0.07865362646882527,9595.806421356412,0.13211904751970827,0.03761531047776401,0.017880122889060643
10.1037/0022-3514.94.5.739,,,,386,123,380,128,0.05495259250469883,35039.98326395826,0.13604801776684783,0.027208020519057307,0.012034160518119268
10.1111/j.1467-9280.2008.02091.x,,,,304,36,296,33,0.10508186411903922,8118.518221076311,0.07523276578208458,0.03313811253614056,0.0174693813317177
10.1111/j.1467-9280.2008.02136.x,1.0,1.0,1.0,138,13,110,10,0.19465021302160557,931.1500000000002,0.06520658263305323,0.03305322128851541,0.02981656718257216
10.1111/j.1467-9280.2008.02056.x,,0.0,0.0,233,39,174,26,0.12858527910158937,3851.9500000000003,0.09678266331658292,0.03,0.022249181113715853
10.1037/0022-3514.94.4.718,,0.0,,211,69,226,71,0.09933980570814953,13839.847619047625,0.15742842409509084,0.024024024024024024,0.014374768351779615
10.1037/0022-3514.94.2.245,0.0,1.0,0.0,208,72,247,74,0.06221740220322259,13941.888569763578,0.1357271083505021,0.04073263539756708,0.015522482013210505
10.1111/j.1467-9280.2008.02079.x,,,,180,25,160,23,0.1203669807220913,2995.617857142857,0.08994228839076614,0.03374767309193539,0.024368205236359727
10.1037/0278-7393.34.2.302,,0.0,0.0,192,60,221,63,0.06148597920573195,11509.09446237887,0.14319781095877754,0.05362564077041756,0.017866852205698523
10.1111/j.1467-9280.2008.02084.x,,0.0,0.0,192,35,197,29,0.12252740896994356,4799.3,0.09438151425762045,0.027728613569321534,0.020200344143710056
10.1037/0022-3514.94.1.133,,,,169,58,201,64,0.07914124820690772,11151.911904761906,0.1594041152767568,0.02750142938822184,0.01771042609492518
10.1111/j.1467-9280.2008.02064.x,1.0,1.0,1.0,167,16,175,18,0.0775320866873183,1485.3457240199884,0.040083811636981555,0.09952504317789292,0.024260666011794968
10.1037/0022-3514.94.2.278,,,,188,63,204,66,0.09244894254449361,11898.211904761907,0.16381952230155455,0.025857083849648906,0.01591925356962049
